trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
TRIP_L5_001,06:00:00,06:00:00,STOP_001,1,,0,0,1
TRIP_L5_001,06:03:00,06:03:30,STOP_002,2,,0,0,1
TRIP_L5_001,06:07:00,06:07:30,STOP_003,3,,0,0,1
TRIP_L5_001,06:15:00,06:15:30,STOP_004,4,Terminal,0,0,1
TRIP_L5_002,07:00:00,07:00:00,STOP_004,1,,0,0,1
TRIP_L5_002,07:08:00,07:08:30,STOP_003,2,,0,0,1
TRIP_L5_002,07:12:00,07:12:30,STOP_002,3,,0,0,1
TRIP_L5_002,07:15:00,07:15:00,STOP_001,4,Colinas Lojanas,0,0,1
TRIP_L2_001,06:30:00,06:30:00,STOP_005,1,,0,0,1
TRIP_L2_001,06:35:00,06:35:30,STOP_006,2,,0,0,1
TRIP_L2_001,06:40:00,06:40:30,STOP_007,3,,0,0,1
TRIP_L2_001,06:50:00,06:50:00,STOP_004,4,Argelia,0,0,1
TRIP_L2_002,08:00:00,08:00:00,STOP_004,1,,0,0,1
TRIP_L2_002,08:10:00,08:10:30,STOP_007,2,,0,0,1
TRIP_L2_002,08:15:00,08:15:30,STOP_006,3,,0,0,1
TRIP_L2_002,08:20:00,08:20:00,STOP_005,4,Centro,0,0,1
TRIP_L7_001,06:45:00,06:45:00,STOP_006,1,,0,0,1
TRIP_L7_001,06:50:00,06:50:30,STOP_007,2,,0,0,1
TRIP_L7_001,06:55:00,06:55:30,STOP_008,3,,0,0,1
TRIP_L7_001,07:05:00,07:05:00,STOP_004,4,Terminal,0,0,1
TRIP_L12_001,07:30:00,07:30:00,STOP_009,1,,0,0,1
TRIP_L12_001,07:35:00,07:35:30,STOP_010,2,,0,0,1
TRIP_L12_001,07:45:00,07:45:00,STOP_004,3,Terminal,0,0,1
